"MKZ";"GWK";"GWK25";"WRRL"
"43420001";"DESN_VM-1-3";"DESN_VM-1-3";1
"43420059";"DEST_EL-3-1";"DEST_EL-3-1";0
"43420066";"DEST_EL-3-1";"DEST_EL-3-1";0
"43420072";"DEST_EL-3-1";"DEST_EL-3-1";1
"43425058";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425059";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425060";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425061";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425066";"DESN_VM-1-3";"DESN_VM-1-3";0
"43425068";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425069";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425100";"DESN_VM-1-3";"DESN_VM-1-3";0
"43425103";"DESN_VM-1-3";"DESN_VM-1-3";0
"43425105";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425106";"DEST_EL-3-1";"DEST_EL-3-1";0
"43425107";"DESN_VM-1-3";"DESN_VM-1-3";0
"43425506";"DESN_VM-1-3";"DESN_VM-1-3";1
"43429730_1";"DESN_VM-1-3";"DESN_VM-1-3";0
"43429730_2";"DESN_VM-1-3";"DESN_VM-1-3";0
"4342E5100";"DESN_VM-1-3";"DESN_VM-1-3";1
"43430201_1";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435043";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435044";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435045";"DESN_EL-2-2";"DESN_EL-2-2-1";0
"43435072";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435073";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435074";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435075";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435077";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435078";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435079";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435080";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435081";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435082";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435083";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435084";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435085";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435086";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435087";"DEST_EL-3-1";"DEST_EL-3-1";0
"43435088";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435089";"DESN_EL-2-1";"DESN_EL-2-1";1
"43435090";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435091";"DESN_EL-2-1";"DESN_EL-2-1";0
"43435095";"DEST_EL-3-1";"DEST_EL-3-1";0
"43440001";"DESN_EL-2-2";"DESN_EL-2-2-1";1
"43440002_2";"DEBB_SE-4-2";"DEBB_SE-4-2_5304";1
"43440005";"DESN_EL-2-2";"DESN_EL-2-2-1";1
"43446000";"DEBB_SE-4-2";"DEBB_SE-4-2_5304";0
"43453716";"DEBB_SE-4-2";"DEBB_SE-4-2_5304";0
"43536001";"DEBB_NE-4-2";"DEBB_NE-4-2_6701";0
"43540116";"DEBB_NE-4-2";NA;0
"43540117";"DEBB_NE-4-2";NA;0
"43540415";"DEBB_NE-4-2";NA;0
"44390001";"DESN_VM-2-2";"DESN_VM-2-2";1
"44390376_1";"DESN_VM-1-1";"DESN_VM-1-1";0
"44390376_2";"DESN_VM-1-1";"DESN_VM-1-1";0
"44391280";"DESN_VM-2-2";"DESN_VM-2-2";0
"44392976_1";"DESN_VM-2-2";"DESN_VM-2-2";0
"44392976_2";"DESN_VM-2-2";"DESN_VM-2-2";0
"44392976_3";"DESN_VM-2-2";"DESN_VM-2-2";0
"44393876";"DESN_VM-2-2";"DESN_VM-2-2";1
"44395181";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396262";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396267";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396268";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396269";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396279";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396281";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396283";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396284";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396285";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396286";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396299";"DEST_SAL-GW-022";"DEST_SAL-GW-022";0
"44396300";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396301";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396305";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396310";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396311";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396312";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396313";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396314";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396315";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396316";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396317";"DESN_VM-2-2";"DESN_VM-2-2";0
"44396318";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396321";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396323";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396325";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396336";"DESN_VM-1-1";"DESN_VM-1-1";0
"44396340";"DESN_VM-2-2";"DESN_VM-2-2";0
"44399349";"DESN_VM-1-1";"DESN_VM-1-1";0
"44399354";"DESN_VM-1-1";"DESN_VM-1-1";0
"44399398";"DESN_VM-1-1";"DESN_VM-1-1";0
"4439B1619";"DESN_VM-1-1";"DESN_VM-1-1";1
"4439B1681";"DESN_VM-1-1";"DESN_VM-1-1";1
"4439B5792";"DESN_VM-2-2";"DESN_VM-2-2";1
"4439E6279";"DESN_VM-2-2";"DESN_VM-2-2";1
"4439ST0001";"DESN_VM-2-2";"DESN_VM-2-2";0
"4439ST0104";"DESN_VM-2-2";"DESN_VM-2-2";0
"44400015";"DESN_VM-1-1";"DESN_VM-1-1";1
"44400016";"DESN_VM-1-1";"DESN_VM-1-1";1
